"Date","Price","Open","High","Low","Vol.","Change %"
"09/18/2024","450","450","452","450","98.90K","0.00%"
"09/19/2024","448","450","452","440","56.10K","-0.44%"
"09/20/2024","444","448","448","444","88.40K","-0.89%"
"09/23/2024","450","446","474","444","186.20K","1.35%"
"09/24/2024","450","450","456","450","451.10K","0.00%"
"09/25/2024","450","450","450","446","457.50K","0.00%"
"09/26/2024","448","450","452","448","26.30K","-0.44%"
"09/27/2024","446","448","452","444","68.90K","-0.45%"
"09/30/2024","444","444","456","444","17.20K","-0.45%"
"10/01/2024","442","446","446","440","59.80K","-0.45%"
"10/02/2024","440","440","442","434","26.30K","-0.45%"
"10/03/2024","434","434","440","432","36.60K","-1.36%"
"10/04/2024","434","434","434","434","0.10K","0.00%"
"10/07/2024","432","434","450","428","46.70K","-0.46%"
"10/08/2024","436","432","438","430","0.90K","0.93%"
"10/09/2024","440","436","440","436","9.00K","0.92%"
"10/10/2024","440","434","440","434","6.60K","0.00%"
"10/11/2024","440","432","456","432","8.10K","0.00%"
"10/14/2024","450","440","450","436","21.00K","2.27%"
"10/15/2024","444","450","450","440","41.30K","-1.33%"
"10/16/2024","442","444","444","434","18.90K","-0.45%"
"10/17/2024","442","442","442","440","0.70K","0.00%"
"10/18/2024","440","442","442","440","5.40K","-0.45%"
"10/21/2024","452","440","454","440","101.30K","2.73%"
"10/22/2024","448","452","454","440","21.60K","-0.88%"
"10/23/2024","446","448","470","442","247.70K","-0.45%"
"10/24/2024","442","446","450","442","2.00K","-0.90%"
"10/25/2024","448","450","450","446","1.00K","1.36%"
"10/28/2024","436","450","560","430","1.46M","-2.68%"
"10/29/2024","436","440","440","436","31.20K","0.00%"
